x,y,z
1.539420,0.037891,-0.080702
1.529298,0.037642,0.353173
1.541298,0.037938,-0.026912
1.510250,0.037173,0.404793
1.276567,0.031422,-0.342159
1.523306,0.037495,0.026597
1.523453,0.037498,-0.351823
1.535427,0.037793,0.080493
1.530875,0.037681,-0.297662
1.547618,0.038093,0.135440
1.528479,0.037622,-0.242161
1.528058,0.037612,0.187679
1.534012,0.037758,-0.188410
1.532428,0.037719,0.242786
1.545626,0.038044,-0.135266
1.509285,0.037150,0.293464
1.511467,0.037203,-0.079237
1.529298,0.037642,0.353173
1.541298,0.037938,-0.026912
1.517976,0.037364,0.406864
1.288036,0.036203,-0.345265
1.529163,0.042980,0.026702
1.531105,0.043035,-0.353623
1.527300,0.042928,0.080074
1.534659,0.043135,-0.298425
1.535526,0.043159,0.134394
1.530313,0.043013,-0.242473
1.533871,0.043113,0.188410
1.535855,0.043169,-0.188654
1.524389,0.042846,0.241535
1.553450,0.043663,-0.135963
1.516997,0.042639,0.294991
1.529296,0.042984,-0.080179
1.517469,0.042652,0.350474
1.537159,0.043205,-0.026842
1.531354,0.043042,0.410487
1.264863,0.035552,-0.339053
1.535160,0.043149,0.026807
1.535001,0.043145,-0.354523
1.535286,0.043153,0.080493
1.526809,0.042914,-0.296899
1.527559,0.042935,0.133697
1.538211,0.043235,-0.243725
1.543792,0.043392,0.189629
1.533871,0.043113,-0.188410
1.520440,0.042735,0.240909
1.545484,0.043439,-0.135266
1.526809,0.042914,0.296899
1.537282,0.043209,-0.080597
1.521365,0.042761,0.351374
1.525165,0.042868,-0.026632
1.513974,0.042554,0.405828
1.288036,0.036203,-0.345265
1.529163,0.042980,0.026702
1.531105,0.043035,-0.353623
1.527300,0.042928,0.080074
1.534659,0.043135,-0.298425
1.535526,0.043159,0.134394
1.530313,0.043013,-0.242473
1.533871,0.043113,0.188410
1.535855,0.043169,-0.188654
1.524389,0.042846,0.241535
1.553450,0.043663,-0.135963
1.516997,0.042639,0.294991
1.529296,0.042984,-0.080179
1.517469,0.042652,0.350474
1.537159,0.043205,-0.026842
1.531354,0.043042,0.410487
1.264863,0.035552,-0.339053
1.535160,0.043149,0.026807
1.535001,0.043145,-0.354523
1.535286,0.043153,0.080493
1.526809,0.042914,-0.296899
1.527559,0.042935,0.133697
1.538211,0.043235,-0.243725
1.543792,0.043392,0.189629
1.533871,0.043113,-0.188410
1.520440,0.042735,0.240909
1.545484,0.043439,-0.135266
1.526809,0.042914,0.296899
1.537282,0.043209,-0.080597
1.521365,0.042761,0.351374
